"ctryName","ctryCode","lifeExp","icsrMean","contig","dist","internetUserPer100","migrantStockPctPop","lfpMale","unempYthTotILO","fh_cl","fh_pr","sunnipct","shiapct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop15.24","religious.frac","lnHomicidesPer100k","lnpopDensity","lnpop","lnarea","lngdppcPPP","lnrefugeesUnhcr","lnrefugeeOrigin"
"Belarus","BLR",72.4707317073,0,0,2369.23071289062,54.17,11.4897576396,70.1999969482,12.1999998093,6,7,0.199,0.001,7.778,3,10,11.7,0.6116,1.62924053973028,3.84269917948681,16.0632169894483,12.2205178099617,9.74417279797404,6.53813982376767,8.39931015075952
"Belgium","BEL",80.3853658537,440,0,3226.32666015625,82.1702,8.926966288,72.5,23.1000003815,1,1,5.97,0.03,0.833,7.6,5.333,11.7,0.2127,0.470003629245736,5.91164625420088,16.2298889617523,10.3182427075514,10.6117443066279,10.5217225915309,4.35670882668959
"Benin","BEN",59.2875609756,0,0,4607.37060546875,4.9,2.4399677049,78.5999984741,1.7000000477,2,2,24.3775,0.1225,0,0,0.667,20.1,0.5544,2.12823170584927,4.5169139440497,16.1499308892782,11.633016945228,7.45778780774708,5.71373280550937,5.72031177660741
"Bhutan","BTN",68.3023170732,0,0,4362.53076171875,29.9,5.6135877669,79.5,6.6999998093,5,4,0.995,0.005,4.167,7.6,2,20.1,0.3787,0.53062825106217,2.98466169691666,13.5330773527423,10.5484156558255,8.8772711518136,NA,10.3598675501124
"Bolivia","BOL",67.2173658537,0,0,12342.982421875,39.5,1.435686998,82.3000030518,4.9000000954,3,3,0.0995,5e-04,0,8.333,0.667,19.8,0.2085,2.4932054526027,2.28753658587513,16.183059081809,13.8955224959337,8.68851918087029,6.62671774924902,6.39859493453521
"Bosnia and Herzegovina","BIH",76.279902439,330,0,1928.30212402344,67.9,0.722322227,67.0999984741,60.4000015259,3,3,41.392,0.208,0.556,6.6,3.333,12.7,0.6851,0.262364264467491,4.31861349313108,15.1581944048374,10.8395809117065,9.14711832059247,8.84922702143852,10.1965675300495
"Botswana","BWA",47.4056097561,0,0,6576.06103515625,15,5.8312907719,82.6999969482,34.0999984741,2,3,0.398,0.002,0,1.833,0,21.6,0.5986,2.91235066461494,1.27153596688598,14.519174245703,13.247638278819,9.63211238336005,7.98854298273769,5.12396397940326
"Brazil","BRA",73.8859512195,0,0,10825.5751953125,51.6,0.352454002,85.3000030518,13.6000003815,2,2,0.0925,0.0075,0.833,0,3.333,16.5,0.6054,3.22684399451738,3.17688944184402,19.1156359141137,15.9387464722685,9.58569550338545,9.19329593736692,6.89365635460264
"Bulgaria","BGR",74.4658536585,0,0,1526.83056640625,53.0615,1.4501191857,71.5,29.7000007629,2,2,11.725,1.675,5.278,7.033,10,10.1,0.5965,0.641853886172395,4.20353638967165,15.7985946841799,11.5950582945088,9.66109860302985,9.0916694422585,7.539027055824
"Burkina Faso","BFA",56.2750243902,0,0,4511.7509765625,4.4,6.7118142757,90.8000030518,4.9000000954,3,5,58.6055,0.2945,0.833,0,4.333,20.1,0.5798,2.07944154167984,4.12546107252049,16.6448835372505,12.5194224647305,7.39660795400429,10.3098189519723,7.4312996751559
