"ctryName","ctryCode","iso2","year","internetSubPer100","internetUserPer100","internetServerPerMil","area","popDensity","telephonePer100","cellPer100","lifeExp","imr","gdppcPPP","pop","popUrbPct","unempYthMaleILO","unempYthTotILO","unempTotILO","lfpMale","lfpTot","secondaryEnroll","healthExpGDP","milExpGDP","secondExpPerStudent","homicidesPer100k","battleRelDeaths","milPersonnelOfLabor","migrantStockPctPop","refugeeAsylum","refugeeOrigin","icsrLow","icsrHigh","icsrMean","contig","dist","muslim.pop","muslimpct","fh_cl","fh_pr","fh_status","ccodecow","cname","fh_aor","fh_ep","fh_feb","fh_fog","fh_ipolity2","fh_pair","fh_polity2","fh_ppp","fh_rol","pctmusShia","shiapct","sunnipct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop0.14","pctpop15.24","pctpop25.54","pctpop55.64","pctpop65","n.attacks","n.kill","n.attacks.post11","n.kill.post11","religious.frac","ethnic.frac","language.frac","refugeesUnhcr"
"Burundi","BDI","BI",2014,0.004664192,1.3,0.5723552418,25680,395.7372274143,0.2091309528,24.9625880637,54.097195122,54.8,746.9601514274,10162532,11.472,9.8999996185,10.6999998093,6.9000000954,82.8000030518,83.5999984741,33.1023101807,4.3856913955,2.2410143468,33.0475387573,8,NA,1.0970357685,0.658200214,45490,72652,0,0,0,0,4168.7353515625,"184000",2.2,5,5,2,516,"Burundi",4,4,8,2,"3.61293053627014",6,"",6,4,2.5,0.055,2.145,0,0,0,45.7,19.3,28.6,3.9,2.5,58,124,58,124,0.5158,0.2951,0.2977,51535
"Cambodia","KHM","KH",2014,0.2157095173,6,2.9854620976,176520,85.7419499207,2.7812177056,133.8902393492,71.7475609756,32.5,2943.5246683519,15135169,20.319,0.6999999881,0.6999999881,0.3000000119,88,84.9000015259,NA,1.5412952533,1.5985005566,NA,6.5,14,2.2230563364,2.3378392837,68,13748,0,0,0,0,6577.49609375,"240000",1.6,5,6,3,811,"Cambodia",3,3,9,3,"2.78577065467834",6,"",3,2,0.5,0.008,1.592,3.889,8.667,2.667,31.6,20.5,38.9,5.1,4,4,1,4,1,0.0965,0.2105,0.2104,80
"Cameroon","CMR","CM",2014,0.0759415437,6.4,1.6652789342,472710,47.0774026359,3.590444289,70.3904685005,55.041804878,60.8,2739.3439448002,22253959,53.25,7,7.4000000954,4,77,71.1999969482,50.3778686523,1.7705230901,1.3280821604,19.7356491089,7.6,NA,0.2599706009,0.9530970271,114753,11442,0,0,0,0,4184.38525390625,"3598000",18,6,6,3,471,"Cameroon",3,2,7,2,"1.95861077308655",4,"",3,2,0.5,0.09,17.91,0.833,0,3.667,42.9,19.6,30.4,3.9,3.1,12,50,12,50,0.7338,0.8635,0.8898,123090
"Canada","CAN","CA",2014,33.2031927732,85.8,1211.5850566293,9093510,3.8658646661,48.0960217277,80.6100807397,81.4011219512,4.6,41898.8823594636,35154279,81.472,15.1999998093,13.8000001907,7.0999999046,81.5999984741,78.0999984741,103.4047470093,7.5806286438,1.0107378269,18.32213974,1.6,NA,0.3378665563,21.1800675389,160349,100,NA,NA,100,0,9254.029296875,"940000",2.8,1,1,1,20,"Canada",11,12,16,12,"10",16,"",16,15,0.5,0.014,2.786,1.389,4.633,6,15.5,12.7,41,13.5,17.3,19,1,19,1,0.6958,0.7124,0.5772,182497
"Central African Republic","CAF","CF",2014,0,3.5,0.212359312,622980,7.4102170214,0.017329457,29.4665754848,50.136804878,96.1,584.3759440422,4616417,39.5,11.3999996185,12.5,7.5999999046,85.5,79.1999969482,17.7918891907,1.9690777035,2.5974264298,NA,11.8,145,0.3727982603,1.85042441,14322,252865,0,0,0,0,3724.06713867188,"403000",8.9,5,5,2,482,"Central African Republic",4,7,8,2,"3.61293053627014",4,"",7,3,0.5,0.0445,8.8555,3.889,1.833,3.667,40.6,20.1,31.8,3.9,3.6,47,239,47,239,0.7916,0.8295,0.8334,16958
"Chad","TCD","TD",2014,0.1145313089,2.3,0.151388994,1259200,10.1852874841,0.2442279386,35.5643768254,51.1590731707,88.5,2021.5934708652,12825314,22.227,10.3000001907,10.8000001907,7,79.1999969482,71.9000015259,22.7940998077,1.3118197853,1.9873840092,20.8794803619,7.3,4,0.7355463041,3.3125011038,434479,48644,0,0,0,0,3214.42749023438,"6404000",55.7,6,7,3,483,"Chad",4,3,7,1,"1.13145077228546",3,"",1,2,0.5,0.2785,55.4215,6.389,5.4,5.667,44.7,20.6,27.8,3.9,3,30,411,30,411,0.6411,0.862,0.8635,434789
"Chile","CHL","CL",2014,12.9551295629,66.5,127.5530298768,743532,23.697309598,18.1799721085,134.2890529173,79.836804878,7.1,21714.0315564501,17619708,89.175,13.8999996185,16.1000003815,6,79.5999984741,67.4000015259,89.0106277466,3.6618278652,1.9611978285,18.0646591187,3.1,NA,1.2347190426,1.8681212961,1743,596,0,0,0,0,13413.08984375,"4000",0.1,1,1,1,155,"Chile",11,12,16,12,"10",15,"",15,15,0.5,5e-04,0.0995,0,6.933,2.667,20.7,16.3,43.2,9.9,9.9,38,2,38,2,0.3841,0.1861,0.1871,2164
"China","CHN","CN",2014,13.6340619491,45.8,7.0298383767,9388211,144.5834568482,19.2690132787,88.7083346182,75.3530243902,10.9,11524.567506563,1357380000,53.168,11.6999998093,10.1000003815,4.5999999046,84,77.3000030518,88.9779968262,3.1069067112,2.0532826503,NA,1,NA,0.3772811193,0.0512650398,301047,195137,NA,NA,300,0,6298.4443359375,"23308000",1.8,6,7,3,710,"China",3,0,4,2,"1.13145077228546",6,"",1,2,0.5,0.009,1.791,9.167,2,4.333,17.1,14.7,47.2,11.3,9.6,49,323,49,323,0.6643,0.1538,0.1327,301427
"Colombia","COL","CO",2014,9.2852267023,51.7,46.0453709381,1109500,43.5524155025,14.7790839277,104.0845438993,73.9788292683,14.5,12025.3853718442,48321405,75.883,16.2000007629,20.5,10.5,82.4000015259,70.8000030518,92.9564437866,5.1794140746,3.4357735051,17.0361309052,30.8,140,1.9351590308,0.2374797711,224,396635,0,0,0,0,11684.052734375,"14000",0.1,4,3,2,100,"Colombia",5,10,12,7,"6.09441089630127",10,"",10,7,0.5,5e-04,0.0995,2.222,8,8.333,25.3,18,41.6,8.3,6.7,836,736,836,736,0.1478,0.6014,0.0193,295
"Comoros","COM","KM",2014,0.1768907237,6.5,1.3606978747,1861,394.9043524987,3.1296051119,47.2842511467,60.8574878049,57.9,1399.7808484349,734917,28.104,10.3000001907,10.6999998093,6.5,80.5,58.2999992371,63.8734703064,1.8854468042,NA,NA,10,NA,NA,1.9799994437,NA,515,0,0,0,0,5009.9931640625,"679000",98.3,4,3,2,581,"Comoros",6,9,10,5,"6.09441089630127",6,"",11,8,0.5,0.4915,97.8085,9.444,6.733,10,41.3,18.8,31.9,4.1,3.8,0,0,0,0,0.0137,NA,0.0103,NA
"Congo, Dem. Rep.","ZAR","CD",2014,0,2.2,0.4325259516,2267050,29.7804093425,0,41.8165640719,49.9438536585,86.1,783.2592535785,67513677,41.461,13.8000001907,14.3000001907,8,73.5,72.4000015259,43.3397903442,1.8634125748,1.3103300553,9.648229599,28.3,1530,0.5030987699,0.7150083595,113362,499541,0,0,0,0,4753.19677734375,"60000",1.6,6,6,3,490,"Congo, Democratic Republic",3,3,7,2,"1.95861077308655",1,"",4,0,0.5,0.008,1.592,2.222,2.9,6,43.1,21.4,29.4,3.5,2.6,164,1439,164,1439,0.7021,0.8747,0.8705,114823
