"ctryCode","ctryName","lifeExp","icsrMean","contig","dist","internetUserPer100","migrantStockPctPop","lfpMale","unempYthTotILO","fh_cl","fh_pr","sunnipct","shiapct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop15.24","religious.frac","lnHomicidesPer100k","lnpopDensity","lnpop","lnarea","lngdppcPPP","lnrefugeesUnhcr","lnrefugeeOrigin","europe"
"BLR","Belarus",72.4707317072993,0,0,2369.23071289062,54.1699999999988,11.4897576395998,70.1999969481989,12.1999998092998,6,7,0.199000000000004,0.001,7.77800000000007,3,10,11.7000000000001,0.611599999999998,1.62924053973029,3.84269917948678,16.0632169894485,12.2205178099616,9.74417279797414,6.53813982376776,8.39931015075948,0
"BEL","Belgium",80.3853658536985,440,0,3226.32666015625,82.1701999999989,8.92696628799984,72.5,23.1000003814999,1,1,5.97000000000002,0.0300000000000004,0.832999999999996,7.60000000000013,5.33299999999996,11.7000000000001,0.212700000000004,0.470003629245741,5.91164625420085,16.2298889617523,10.3182427075515,10.611744306628,10.5217225915311,4.35670882668959,0
"BEN","Benin",59.2875609756007,0,0,4607.37060546875,4.89999999999999,2.43996770490002,78.5999984741006,1.70000004770002,2,2,24.3774999999997,0.122500000000002,0,0,0.666999999999997,20.0999999999999,0.55439999999999,2.12823170584925,4.51691394404962,16.1499308892781,11.633016945228,7.45778780774708,5.71373280550936,5.72031177660749,0
"BTN","Bhutan",68.3023170731993,0,0,4362.53076171875,29.9000000000005,5.61358776690004,79.5,6.69999980929992,5,4,0.995000000000004,0.00499999999999992,4.16699999999995,7.60000000000013,2,20.0999999999999,0.378699999999996,0.530628251062177,2.98466169691665,13.5330773527421,10.5484156558255,8.87727115181343,5.23810138307806,10.3598675501125,0
"BOL","Bolivia",67.2173658536997,0,0,12342.982421875,39.5,1.435686998,82.3000030518011,4.90000009540008,3,3,0.0995000000000018,5e-04,0,8.33299999999986,0.666999999999997,19.7999999999996,0.208499999999995,2.4932054526027,2.28753658587513,16.1830590818086,13.8955224959336,8.68851918087041,6.62671774924909,6.39859493453515,0
"BIH","Bosnia and Herzegovina",76.2799024389984,330,0,1928.30212402344,67.9000000000008,0.722322226999989,67.0999984740995,60.4000015259006,3,3,41.3919999999998,0.207999999999999,0.555999999999998,6.6000000000001,3.33300000000005,12.7000000000002,0.685100000000001,0.262364264467492,4.31861349313112,15.1581944048375,10.8395809117064,9.14711832059236,8.84922702143843,10.1965675300495,1
"BWA","Botswana",47.4056097560994,0,0,6576.06103515625,15,5.83129077190004,82.6999969481989,34.0999984740995,2,3,0.398000000000007,0.002,0,1.83300000000003,0,21.5999999999998,0.598599999999996,2.91235066461498,1.27153596688595,14.5191742457028,13.2476382788191,9.63211238336025,7.9885429827375,5.12396397940329,0
"BRA","Brazil",73.8859512194998,0,0,10825.5751953125,51.5999999999991,0.352454002000002,85.3000030518011,13.6000003815002,2,2,0.0925000000000009,0.0075000000000001,0.832999999999996,0,3.33300000000005,16.5,0.605399999999995,3.22684399451737,3.17688944184406,19.1156359141133,15.9387464722681,9.58569550338525,9.19329593736696,6.89365635460281,0
"BGR","Bulgaria",74.4658536584997,0,0,1526.83056640625,53.0615000000012,1.45011918570002,71.5,29.7000007628996,2,2,11.7250000000002,1.67499999999997,5.27799999999998,7.03300000000011,10,10.1000000000002,0.596499999999994,0.641853886172387,4.20353638967164,15.79859468418,11.5950582945085,9.66109860302999,9.09166944225844,7.53902705582388,1
"BFA","Burkina Faso",56.2750243901991,0,0,4511.7509765625,4.40000000000003,6.71181427569992,90.8000030518011,4.90000009540008,3,5,58.6054999999994,0.294500000000003,0.832999999999996,0,4.33300000000004,20.0999999999999,0.579799999999989,2.07944154167986,4.12546107252047,16.6448835372504,12.5194224647307,7.39660795400419,10.3098189519722,7.43129967515596,0
