"country","pctpop0.14","pctpop15.24","pctpop25.54","pctpop55.64","pctpop65"
"Saudi Arabia",27.6,19.3,45.4,4.5,3.2
"Senegal",42.5,20.5,30.4,3.8,2.9
"Serbia",14.8,11.6,41.6,14.7,17.2
"Seychelles",20.9,14.2,49.4,8.2,7.3
"Sierra Leone",41.9,18.8,31.6,3.9,3.7
"Singapore",13.4,17.8,50.3,10,8.5
"Sint Maarten",19.7,16.3,45.3,12.9,5.8
"Slovakia",15.2,12.2,45.2,13.5,13.9
"Slovenia",13.4,10,43.9,14.8,17.9
"Solomon Islands",36.2,20,35.4,4.4,4.1
"Somalia",44,18.9,31.2,3.6,2.3
"South Africa",28.3,20.2,38.2,7.1,6.3
"South Sudan",45.8,19.9,29.1,3.2,2.1
"Spain",15.4,9.6,45.9,11.4,17.6
"Sri Lanka",24.7,14.9,42.1,9.5,8.7
"Sudan",40.8,20.2,31.8,3.9,3.3
"Suriname",26.2,17.6,44.1,6.5,5.7
"Swaziland",36.5,22.3,33.2,4.2,3.8
"Sweden",16.9,12.3,39.2,11.7,19.8
"Switzerland",15.1,11.4,43.9,12,17.5
"Syria",33.1,20.2,37.9,4.8,3.9
"Taiwan",14,13.4,47.4,13.2,12
"Tajikistan",33,20.1,38.9,4.8,3.2
"Tanzania",44.6,19.5,29.5,3.5,2.9
"Thailand",17.6,15,46.9,10.9,9.5
"Timor-Leste",42.4,19.8,29.3,4.8,3.7
"Togo",40.7,19.7,32.1,4.2,3.3
"Tonga",35.6,19.3,33.3,5.5,6.3
"Trinidad and Tobago",19.4,13,46.9,11.1,9.5
"Tunisia",23,16,44.6,8.4,7.9
"Turkey",25.5,16.8,42.9,8.1,6.7
"Turkmenistan",26.4,20.2,42.3,6.9,4.2
"Turks and Caicos Islands",22.1,14.8,53.5,5.3,4.2
"Tuvalu",29.6,20.6,36.2,8.2,5.4
"Uganda",48.7,21.2,25.7,2.4,2.1
"Ukraine",14,11.5,45,13.6,15.9
"United Arab Emirates",20.7,13.7,61.5,3.1,1
"United Kingdom",17.3,12.6,41,11.5,17.5
"United States",19.4,13.7,39.9,12.6,14.5
"Uruguay",21,16,38.9,10.1,13.9
"Uzbekistan",24.9,20.5,43,6.8,4.8
"Vanuatu",37.3,19.8,34.2,5,3.7
"Venezuela",28.2,18.8,39.6,7.5,5.9
"Vietnam",24.3,17.8,44.8,7.4,5.7
"Virgin Islands",17.8,10.3,39,14.3,18.6
"Wallis and Futuna",23.4,17.8,40.7,9.2,8.9
"West Bank",33.7,21.7,36.4,4.4,3.8
"Western Sahara",38.1,19.7,33.7,4.8,3.7
"World",25.79,16.61,40.78,8.51,8.32
"Yemen",41.7,21.1,30.9,3.7,2.6
"Zambia",46.2,20,28.5,2.9,2.4
"Zimbabwe",38.4,22.1,32.3,3.6,3.5
